Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C19, C20, C21, C26, C27, C28, C29, C30, C39",0402,11,100nF,
"C10, C11, C9",0805,3,22uF,
"C12, C13, C14, C3, C4, C6, C8",0402,7,10uF,
C15,0402,1,2.2μF,
"C16, C17",0805,2,22μF,
C2,0805,1,44uF,
"C22, C24",0402,2,100uF,
C25,0402,1,2.2uF,
"C31, C32, C33, C34, C5",0402,5,1uF,
"C35, C36",0402,2,6.8pF,
"C37, C38",0402,2,20pF,
C7,0805,1,47uF,
CARD1,TF-SMD_DM3CS-SF,1,DM3C-SF,C3177034
D1,0402,1,LED,
"J1, J3",PinHeader_2x03_P2.54mm_Vertical,2,Conn_01x03,
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
L1,1008,1,1μH,
L2,L_APV_ANR4012,1,1.5μH,
L3,1210,1,5.6μH,
L4,L0603,1,FCM1608KF-601T03,C141723
"R1, R2",0201,2,5.1K,
R10,0201,1,5.23k,
R11,0201,1,383,
R12,0201,1,RCBSET,
"R13, R14, R15, R18, R19, R20, R21, R22, R23, R24, R4, R5, R6, R8",0201,14,10k,
R16,0201,1,22.1k,
R17,0201,1,100k,
R3,0201,1,2.2k,
R7,0201,1,300,
R9,0201,1,30.1k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U3,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,ICM-20948,C726001
U4,LGA-8_BME280_BL,1,BME280,C92489
U5,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,BQ25887RGET,C2862617
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51430XDDCR,C5185863
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
